Name,Type
P2P protocols,experience
Distributed computing and networks,experience
Security,experience
Formal verification,experience
Cryptography,experience
Game theory,experience
Economics,experience
Smart contract audits,experience
Zero Knowlege Proofs,experience
Currency exchanges,experience
Bitcoin,blockchain
Ethereum,blockchain
Ripple,blockchain
Stellar,blockchain
Hyperledger Fabric,blockchain
Hyperledger Sawtooth,blockchain
Quorum,blockchain
Corda,blockchain
EOS,blockchain
NEO,blockchain
Waves,blockchain
Steemit,blockchain
Lisk,blockchain
Quantum,blockchain
Tezos,blockchain
Cardano,blockchain
Litecoin,blockchain
Monero,blockchain
ZCash,blockchain
IOTA,blockchain
NEM,blockchain
NXT,blockchain
Dash,blockchain
Doge,blockchain
Java,language
C,language
C++,language
C#,language
Python,language
Visual Basic .NET,language
PHP,language
JavaScript,language
Delphi/Object Pascal,language
Swift,language
Perl,language
Ruby,language
Assembly language,language
R,language
Visual Basic,language
Objective-C,language
Go,language
MATLAB,language
PL/SQL,language
Scratch,language
Solidity,language
Serpent,language
LLL,language
Nodejs,language
Scala,language
Rust,language
Kotlin,language
Haskell,language
Erlang,language
Elixir,language
Angularjs,language
Reactjs,language
Vuejs,language